cluster,site,cost
10.0,652.0,44.90386319857829
10.0,653.0,46.254065144717714
10.0,654.0,45.30232368548597
10.0,655.0,46.1072377496365
10.0,656.0,47.20568232940211
10.0,657.0,50.086689450333665
10.0,658.0,49.12134241366026
10.0,659.0,51.175771434252546
10.0,665.0,55.78422748116958
10.0,666.0,56.965654898620215
10.0,667.0,55.189641874647656
10.0,668.0,57.70127695486687
10.0,669.0,60.19184874205913
10.0,679.0,71.62684736939028
10.0,680.0,71.28756841031388
10.0,681.0,78.93640184513809
10.0,701.0,38.24873699777548
10.0,702.0,42.392603427492006
10.0,704.0,41.65783936272012
10.0,705.0,43.877618899673166
10.0,706.0,43.173138305143716
10.0,707.0,44.352626542557815
10.0,708.0,43.350119179290886
10.0,709.0,45.944500975555194
10.0,710.0,46.30316626691687
10.0,711.0,47.75621037195371
10.0,712.0,48.957915667292184
10.0,713.0,50.72286129717772
10.0,714.0,51.689150583468994
10.0,720.0,52.37417545532499
10.0,721.0,52.919820705721264
10.0,722.0,54.52099012921164
10.0,734.0,72.17349158378872
10.0,735.0,73.2821599820141
10.0,739.0,78.07056143851176
10.0,740.0,81.15003327168561
10.0,754.0,36.08534554537885
10.0,757.0,36.91508866988951
10.0,760.0,41.98698074987261
10.0,761.0,40.287738576062225
10.0,762.0,41.316679384095345
10.0,763.0,42.96699417152373
10.0,764.0,43.05179812842531
10.0,765.0,46.56258590478084
10.0,766.0,47.59019871500118
10.0,767.0,47.48762573477326
10.0,768.0,48.26117712851231
10.0,769.0,49.05203549281072
10.0,770.0,50.195502436346004
10.0,776.0,53.75810551360975
10.0,777.0,57.35277562682387
10.0,778.0,57.85719180194704
10.0,783.0,65.21842926010325
10.0,809.0,31.129518187579997
10.0,812.0,33.398481862129806
10.0,816.0,37.10977966122758
10.0,817.0,38.79343457566455
10.0,818.0,38.56635689164502
10.0,819.0,39.491119837945995
10.0,820.0,40.61179663713075
10.0,821.0,42.57118570345607
10.0,822.0,43.882022443983246
10.0,823.0,45.46240968347272
10.0,824.0,45.729824648613715
10.0,825.0,46.6222339592628
10.0,826.0,47.84710328457628
10.0,827.0,49.401689320410284
10.0,828.0,48.61850565505678
10.0,831.0,53.962476226843975
10.0,832.0,53.87035141452678
10.0,833.0,55.12439617821873
10.0,834.0,55.092861873359716
10.0,835.0,57.38179734888497
10.0,836.0,58.87010964404381
10.0,837.0,58.46748123736777
10.0,838.0,58.88586709176094
10.0,841.0,62.69537658012263
10.0,868.0,30.45793033168876
10.0,871.0,33.95716480047721
10.0,872.0,34.55491543117053
10.0,875.0,39.83319447723911
10.0,876.0,39.25699901823107
10.0,877.0,40.936425615469695
10.0,878.0,41.88929151080567
10.0,879.0,41.03364783078777
10.0,880.0,43.03524575291734
10.0,881.0,44.44631215280798
10.0,882.0,45.39066300471
10.0,883.0,45.030033429853226
10.0,884.0,46.34308648265748
10.0,885.0,47.589955385437506
10.0,886.0,48.91868020430735
10.0,887.0,49.14348325739405
10.0,888.0,50.2029265978035
10.0,889.0,51.18832275681618
10.0,890.0,51.96848108258947
10.0,891.0,52.98836998114415
10.0,892.0,54.21374087853066
10.0,893.0,54.758637295695465
10.0,894.0,56.768517370757294
10.0,896.0,58.85574791247005
10.0,897.0,61.3176306718621
10.0,907.0,69.88952573443433
10.0,908.0,72.08493627540143
10.0,918.0,85.26430023826819
10.0,933.0,35.38609914623385
10.0,936.0,38.96775249481153
10.0,939.0,42.0493320243081
10.0,940.0,42.23718866119029
10.0,941.0,43.67010526054159
10.0,942.0,44.01048926889283
